ta51 spt 3750

| |0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|
|0|9|358|482|528|637|987|1101|1167|1254|1285|1294|1407|1568|1663|1715|
|1|11|88|1912|2615|2712|2755|2800|2881|2947|3057|3072|3131|3164|3282|3354|
|2|0|207|825|1025|1149|1780|1884|1962|2121|2165|2307|2381|2473|2554|2575|
|3|34|94|406|1918|2062|2088|2262|2352|2429|2540|2626|2700|2764|2826|2919|
|4|0|52|1133|1234|1309|1360|1502|1571|1911|2073|2145|2281|2333|2445|2564|
|5|8|104|170|233|266|288|312|414|437|532|1035|1119|1357|1646|1785|
|6|32|116|182|824|907|951|1073|1078|1216|1330|1461|1538|1634|1893|2173|
|7|0|81|548|635|697|730|949|1056|1992|2088|2195|2281|2327|2370|2480|
|8|39|121|899|1068|1139|1284|1314|1367|1484|1519|1612|1716|1861|1921|1986|
|9|0|79|146|195|389|617|1219|1319|1398|1491|1786|1913|1970|2084|2132|
|10|23|73|458|526|840|922|986|1136|1236|1831|2007|2084|2132|2216|2262|
|11|246|373|522|632|675|855|982|1147|1314|1358|1420|1604|1659|1882|2015|
|12|117|287|401|1062|1167|1225|1299|1729|1965|2473|2564|2644|2681|2721|2732|
|13|27|113|180|374|441|483|528|1724|1950|2056|2184|2262|2564|2644|2685|
|14|56|151|322|512|640|734|884|1031|1119|1236|1527|1651|1663|2591|2687|
|15|0|68|189|392|513|550|743|822|918|1177|1281|1395|1456|1533|1559|
|16|70|190|312|540|687|803|905|979|1088|1687|1788|1843|1900|1982|2062|
|17|83|153|779|951|1510|1714|1823|1884|2142|2224|2237|2325|2370|2428|2466|
|18|237|340|420|484|606|683|815|877|908|944|979|997|2185|2350|2426|
|19|0|485|586|635|640|745|797|815|959|1098|1220|1347|1429|1640|1874|
|20|103|198|219|1277|1373|1571|1671|1974|2107|2237|2263|2399|2466|2526|2542|
|21|6|41|131|182|193|891|1078|1094|1230|1335|1471|1527|1631|1706|1790|
|22|74|170|468|1051|1156|1260|1392|1572|1640|1736|1873|1923|1979|2028|2146|
|23|291|727|849|920|1046|1105|1263|1310|1316|1323|1416|1508|1560|1994|2091|
|24|188|307|698|1115|1254|1287|1352|1440|1538|1580|1668|1721|1827|1884|1956|
|25|134|236|344|363|702|875|989|1005|1203|1375|1533|1604|1638|1765|1822|
|26|0|1701|1831|2001|2109|2195|2263|2514|2595|2630|2687|2778|2830|2881|2947|
|27|454|2129|2237|2333|2399|2520|2581|2649|2739|2764|2809|3004|3097|3106|3131|
|28|245|373|394|545|732|813|818|907|1019|1316|1450|1576|1648|1749|2054|
|29|6|168|429|556|668|794|861|973|1047|1157|1470|1581|1822|1966|2035|
|30|0|386|492|569|651|764|849|930|1005|1066|1151|1167|1305|1576|1673|
